ProductKey,CurrencyAlternateKey,FIRST_NAME,LAST_NAME,OrderDateKey,OrderQuantity,UnitPrice,SecretCode
346,AUD,Janet,Alvarez,24.01.2011 00:00:00,1,3399,99,7F8AFD11-4
312,USD,Jeremy,Murphy,25.01.2011 00:00:00,1,3578,27,29E99BC0-0
310,USD,Aaron,Collins,25.01.2011 00:00:00,1,3578,27,0AB8FBCE-C
313,USD,Katelyn,Allen,25.01.2011 00:00:00,1,3578,27,0141640F-7
342,GBP,Armando,Navarro,25.01.2011 00:00:00,1,699,10,E9E4D673-9
338,USD,Marcel,Truempy,25.01.2011 00:00:00,1,699,10,A6F7339F-5
313,AUD,Levi,Sai,25.01.2011 00:00:00,1,3578,27,37175A6E-B
348,AUD,Rob,Verhoff,25.01.2011 00:00:00,1,3374,99,03260848-F
338,AUD,Anthony,Walker,25.01.2011 00:00:00,1,699,10,0400805A-D
310,USD,Miguel,Martinez,26.01.2011 00:00:00,1,3578,27,1C6A8BE2-3
310,USD,Jack,Edwards,26.01.2011 00:00:00,1,3578,27,D08935F6-6
311,AUD,Raul,Sharma,26.01.2011 00:00:00,1,3578,27,5D04C16D-8
349,AUD,Jill,Jimenez,26.01.2011 00:00:00,1,3374,99,9319CDAA-F
310,GBP,Isaiah,Cox,26.01.2011 00:00:00,1,3578,27,F51FE43B-5
310,CAD,Arianna,Flores,27.01.2011 00:00:00,1,3578,27,559C10E6-F
348,FRF,Ramon,Zheng,27.01.2011 00:00:00,1,3374,99,55F3C869-1
348,CAD,Sara,James,27.01.2011 00:00:00,1,3374,99,F040E2AF-4
324,CAD,Isabella,Green,27.01.2011 00:00:00,1,699,10,5457C3C7-9
350,AUD,Shannon,Carlson,27.01.2011 00:00:00,1,3374,99,692B62EE-8
313,USD,Miranda,Alexander,28.01.2011 00:00:00,1,3578,27,108571ED-1
311,USD,Jennifer,Young,28.01.2011 00:00:00,1,3578,27,7C867461-4
326,FRF,Misty,Yuan,28.01.2011 00:00:00,1,699,10,54930AF1-9
314,DEM,Craig,Jim+enez,28.01.2011 00:00:00,1,3578,27,08FF07DA-B
312,AUD,Jaime,Sutton,28.01.2011 00:00:00,1,3578,27,D4D12AD4-4
313,CAD,Paige,Morris,29.01.2011 00:00:00,1,3578,27,EACED5DE-7
314,FRF,Brandi,Gill,29.01.2011 00:00:00,1,3578,27,BE4BB586-8
313,USD,Justin,Taylor,29.01.2011 00:00:00,1,3578,27,22A4A1E6-D
313,AUD,Ariana,Stewart,29.01.2011 00:00:00,1,3578,27,A98B23DA-F
310,DEM,Mitchell,Jai,29.01.2011 00:00:00,1,3578,27,6277A5EE-0
312,USD,Rachel,Foster,30.01.2011 00:00:00,1,3578,27,2496F51D-7
310,FRF,Kaitlyn,Henderson,30.01.2011 00:00:00,1,3578,27,CEE97187-4
314,AUD,Shane,Raman,30.01.2011 00:00:00,1,3578,27,358F989E-3
351,AUD,Gilbert,Raje,31.01.2011 00:00:00,1,3374,99,5E2B2E6D-5
314,AUD,Stacey,Gao,31.01.2011 00:00:00,1,3578,27,B1CDF976-0
313,AUD,Elijah,Li,31.01.2011 00:00:00,1,3578,27,68BB914B-3
322,AUD,Gloria,Diaz,31.01.2011 00:00:00,1,699,10,44523548-0
312,USD,Philip,Gomez,01.02.2011 00:00:00,1,3578,27,50EB01D1-6
314,AUD,Alan,Xu,01.02.2011 00:00:00,1,3578,27,57D09712-6
347,AUD,Theresa,Ramos,01.02.2011 00:00:00,1,3399,99,516D02FF-F
346,AUD,Ebony,Gonzalez,01.02.2011 00:00:00,1,3399,99,FE0E0164-F
334,GBP,Virginia,Srini,02.02.2011 00:00:00,1,699,10,2BF409CE-4
311,USD,Carrie,Gill,02.02.2011 00:00:00,1,3578,27,7E39608C-D
312,AUD,Kendra,Rubio,02.02.2011 00:00:00,1,3578,27,C5B565DF-B
310,AUD,Kristine,Alonso,02.02.2011 00:00:00,1,3578,27,3CA87939-4
312,AUD,Emily,Jones,02.02.2011 00:00:00,1,3578,27,9AC0BB5B-7
336,AUD,Sharon,Sharma,02.02.2011 00:00:00,1,699,10,CF1B6F56-D
314,GBP,Marie,Sanz,03.02.2011 00:00:00,1,3578,27,6856762A-A
310,AUD,Jessie,Ortega,03.02.2011 00:00:00,1,3578,27,1E1A58C0-E
338,USD,Natalie,Hernandez,03.02.2011 00:00:00,1,699,10,E48C56FA-6
344,AUD,Deanna,Munoz,03.02.2011 00:00:00,1,3399,99,D87C9D6A-C
310,AUD,Kristi,Arthur,03.02.2011 00:00:00,1,3578,27,B181FA99-C
313,AUD,Lawrence,Romero,03.02.2011 00:00:00,1,3578,27,F15DD2BA-B
310,AUD,Suzanne,Lu,03.02.2011 00:00:00,1,3578,27,CD2DDF92-9
345,AUD,Jaclyn,Lu,03.02.2011 00:00:00,1,3399,99,83F63461-2
310,USD,Sophia,Hall,04.02.2011 00:00:00,1,3578,27,5F1EDE62-7
311,USD,Rachel,Robinson,04.02.2011 00:00:00,1,3578,27,868FC3E9-3
311,AUD,Claudia,Zeng,04.02.2011 00:00:00,1,3578,27,878F5B57-D
312,AUD,Renee,Romero,04.02.2011 00:00:00,1,3578,27,D218C21C-7
342,GBP,Colleen,Chavez,05.02.2011 00:00:00,1,699,10,6CCC443A-6
311,GBP,Virginia,Mehta,05.02.2011 00:00:00,1,3578,27,A21F6947-4
314,GBP,Andre,Sara,05.02.2011 00:00:00,1,3578,27,D387B3F5-A
344,AUD,Bethany,Yuan,05.02.2011 00:00:00,1,3399,99,93435F45-1
313,USD,Amanda,Wood,06.02.2011 00:00:00,1,3578,27,7FBA1EA3-4
312,AUD,Ashlee,Raje,06.02.2011 00:00:00,1,3578,27,18190223-0
348,AUD,Wendy,Dominguez,06.02.2011 00:00:00,1,3374,99,BF1B7708-C
349,AUD,Christine,Yuan,06.02.2011 00:00:00,1,3374,99,E35FD233-0
311,USD,Kari,Navarro,07.02.2011 00:00:00,1,3578,27,677F8904-F
312,USD,Logan,Williams,07.02.2011 00:00:00,1,3578,27,F3D2FB4C-4
314,AUD,Robin,Dominguez,07.02.2011 00:00:00,1,3578,27,53179879-8
312,AUD,Krista,Moreno,07.02.2011 00:00:00,1,3578,27,AD14118B-D
351,AUD,Diana,Hernandez,07.02.2011 00:00:00,1,3374,99,EB9CB9BD-3
347,AUD,Marc,Martin,07.02.2011 00:00:00,1,3399,99,6B1207C4-D
313,USD,Jack,Mitchell,08.02.2011 00:00:00,1,3578,27,ED1A7410-4
313,USD,Olivia,Bennett,08.02.2011 00:00:00,1,3578,27,FEF899E8-1
310,USD,Trevor,Ross,08.02.2011 00:00:00,1,3578,27,87DAFF9E-B
311,AUD,Joel,Perez,08.02.2011 00:00:00,1,3578,27,D5C5B360-1
314,AUD,Alvin,She,08.02.2011 00:00:00,1,3578,27,335246A3-5
314,CAD,Thomas,Roberts,09.02.2011 00:00:00,1,3578,27,15FD2224-C
312,USD,Xavier,Lee,09.02.2011 00:00:00,1,3578,27,EAF27C68-4
312,GBP,Mario,Xie,09.02.2011 00:00:00,1,3578,27,901292E0-3
312,DEM,Paula,Ortega,09.02.2011 00:00:00,1,3578,27,52E5DBB6-E
310,USD,Gabrielle,Turner,09.02.2011 00:00:00,1,3578,27,2169C939-C
312,AUD,Denise,Sanchez,09.02.2011 00:00:00,1,3578,27,8205041D-E
310,USD,Jason,Gonzalez,10.02.2011 00:00:00,1,3578,27,EE0A1C7F-0
322,USD,Anna,Price,10.02.2011 00:00:00,1,699,10,2C1CCB77-C
351,AUD,Jeremy,Powell,10.02.2011 00:00:00,1,3374,99,288FE00F-2
314,AUD,Sophia,Nelson,10.02.2011 00:00:00,1,3578,27,EA243CCA-C
342,AUD,Mario,Shan,10.02.2011 00:00:00,1,699,10,634ADAC8-3
314,USD,Christopher,Martin,11.02.2011 00:00:00,1,3578,27,3352AC0F-7
311,DEM,Brad,Sharma,11.02.2011 00:00:00,1,3578,27,310912D3-3
313,DEM,Cara,Liang,11.02.2011 00:00:00,1,3578,27,0BAE2C7F-5
310,USD,Ian,Morris,11.02.2011 00:00:00,1,3578,27,F26A272A-5
310,USD,Joseph,Brown,12.02.2011 00:00:00,1,3578,27,12157F88-F
344,GBP,Alexis,Coleman,12.02.2011 00:00:00,1,3399,99,E880A2D9-8
312,USD,Kaitlyn,Foster,12.02.2011 00:00:00,1,3578,27,15A9EBFB-0
344,USD,Melanie,Ross,12.02.2011 00:00:00,1,3399,99,B5879562-C
310,AUD,Lee,Blanco,12.02.2011 00:00:00,1,3578,27,0E3176AC-F
311,AUD,Dennis,Ye,12.02.2011 00:00:00,1,3578,27,C2D6AA8D-F
314,AUD,Savannah,Scott,14.02.2011 00:00:00,1,3578,27,913E4F86-7
314,USD,Olivia,Jackson,15.02.2011 00:00:00,1,3578,27,17EB555B-8
312,CAD,Dalton,Brown,15.02.2011 00:00:00,1,3578,27,4492ECA3-1
310,USD,Mary,Howard,15.02.2011 00:00:00,1,3578,27,8183522D-7
310,USD,Jason,Lopez,15.02.2011 00:00:00,1,3578,27,80636C58-E
348,AUD,Jaime,Nath,15.02.2011 00:00:00,1,3374,99,6248243C-7
311,USD,Jay,Sanchez,15.02.2011 00:00:00,1,3578,27,B544F389-1
311,USD,Samantha,Ross,16.02.2011 00:00:00,1,3578,27,F842C9D1-B
313,USD,Jimmy,Navarro,16.02.2011 00:00:00,1,3578,27,D6883EEC-C
336,USD,Melanie,Foster,16.02.2011 00:00:00,1,699,10,60D7A47C-E
342,DEM,Kelli,Chen,16.02.2011 00:00:00,1,699,10,D15BA7F0-6
310,USD,Kyle,Lopez,16.02.2011 00:00:00,1,3578,27,06EE11E5-9
334,CAD,Miranda,Price,16.02.2011 00:00:00,1,699,10,22977DBE-1
310,AUD,Lacey,Guo,16.02.2011 00:00:00,1,3578,27,8004DE74-2
320,AUD,Trisha,Lu,16.02.2011 00:00:00,1,699,10,E8E44C6D-0
312,USD,Angel,Carter,17.02.2011 00:00:00,1,3578,27,50A12D89-8
314,USD,Alexandria,Brooks,17.02.2011 00:00:00,1,3578,27,713F43B4-8
310,GBP,Jan,Watson,17.02.2011 00:00:00,1,3578,27,DBC9C22E-0
310,DEM,Lindsay,Luo,17.02.2011 00:00:00,1,3578,27,1B75C28E-8
349,AUD,Heidi,Lopez,17.02.2011 00:00:00,1,3374,99,3F7A6B90-1
312,AUD,Bryan,Stewart,17.02.2011 00:00:00,1,3578,27,2845ED93-A
313,USD,Andrea,Sanders,18.02.2011 00:00:00,1,3578,27,0E372324-F
311,GBP,Dominic,Gonzalez,18.02.2011 00:00:00,1,3578,27,876D809D-0
350,GBP,Claudia,Zhou,18.02.2011 00:00:00,1,3374,99,5C6EC4C5-1
310,USD,Jack,Young,18.02.2011 00:00:00,1,3578,27,5BCE1255-9
350,USD,Noah,King,18.02.2011 00:00:00,1,3374,99,C50ACAA2-B
310,AUD,Laura,Zheng,18.02.2011 00:00:00,1,3578,27,7DD05D79-8
311,AUD,Dalton,Lee,18.02.2011 00:00:00,1,3578,27,F8637A53-4
348,AUD,Denise,Stone,18.02.2011 00:00:00,1,3374,99,06AAB0A8-8
313,CAD,Alisha,Ye,19.02.2011 00:00:00,1,3578,27,917D4518-4
349,CAD,Gabrielle,Long,19.02.2011 00:00:00,1,3374,99,E34B9012-A
314,AUD,Rosa,Lu,19.02.2011 00:00:00,1,3578,27,B7903524-A
314,AUD,Kellie,Sanz,19.02.2011 00:00:00,1,3578,27,3B983C21-9
310,AUD,Derek,Goel,19.02.2011 00:00:00,1,3578,27,1A03D9EE-2
310,CAD,Lucas,Collins,20.02.2011 00:00:00,1,3578,27,5C6D57B6-C
312,AUD,Natasha,Gutierrez,20.02.2011 00:00:00,1,3578,27,C9C11B81-7
350,AUD,Alan,Zheng,20.02.2011 00:00:00,1,3374,99,A3A98FC7-C
311,FRF,Randall,Dominguez,21.02.2011 00:00:00,1,3578,27,11F8AA82-8
313,GBP,Teresa,Ramos,21.02.2011 00:00:00,1,3578,27,513E213D-F
344,GBP,Robin,Alvarez,21.02.2011 00:00:00,1,3399,99,63F16A3A-B
314,AUD,Ethan,Coleman,21.02.2011 00:00:00,1,3578,27,01B5F8C0-0
313,AUD,Patricia,Raman,21.02.2011 00:00:00,1,3578,27,0AB681D0-F
312,AUD,Derrick,Serrano,21.02.2011 00:00:00,1,3578,27,ED9C351B-0
310,AUD,Preston,Sai,21.02.2011 00:00:00,1,3578,27,C7039466-9
328,AUD,Edwin,Xu,21.02.2011 00:00:00,1,699,10,09557CA9-3
344,USD,Jessica,Lewis,21.02.2011 00:00:00,1,3399,99,617D1DD2-3
342,FRF,Mayra,Perez,22.02.2011 00:00:00,1,699,10,91F13CCC-D
351,AUD,Carl,Andersen,22.02.2011 00:00:00,1,3374,99,62F3183E-A
313,AUD,Mitchell,Pal,22.02.2011 00:00:00,1,3578,27,E3590505-4
313,GBP,Warren,Goel,23.02.2011 00:00:00,1,3578,27,7FDD75D6-6
311,GBP,Sandra,Li,23.02.2011 00:00:00,1,3578,27,517FB8D3-8
314,GBP,Claudia,Gao,23.02.2011 00:00:00,1,3578,27,10881F7F-2
344,FRF,Alisha,Zhang,23.02.2011 00:00:00,1,3399,99,5E4A82F8-6
313,USD,Tamara,Nath,23.02.2011 00:00:00,1,3578,27,4CF7092B-A
344,USD,Brianna,Simmons,23.02.2011 00:00:00,1,3399,99,CBAD3B50-6
314,AUD,Tony,Nara,23.02.2011 00:00:00,1,3578,27,FCC9E7D7-9
314,DEM,Vanessa,Henderson,24.02.2011 00:00:00,1,3578,27,65D86F0E-9
310,AUD,Cristina,Xie,24.02.2011 00:00:00,1,3578,27,7B6C55FF-B
310,GBP,Ariana,Bailey,25.02.2011 00:00:00,1,3578,27,AD3638B8-7
314,AUD,Evan,King,25.02.2011 00:00:00,1,3578,27,20EE7E78-2
338,DEM,Nancy,Srini,26.02.2011 00:00:00,1,699,10,214862B7-6
314,DEM,Sharon,Kumar,26.02.2011 00:00:00,1,3578,27,8627B028-B
310,DEM,Phillip,Rana,26.02.2011 00:00:00,1,3578,27,BAC0B2B6-7
314,DEM,Lori,Ramos,26.02.2011 00:00:00,1,3578,27,1C12287C-3
338,USD,Natalie,Rogers,26.02.2011 00:00:00,1,699,10,28CC6F49-4
350,AUD,Michele,Nath,26.02.2011 00:00:00,1,3374,99,4332CC23-5
313,AUD,Tabitha,Gomez,26.02.2011 00:00:00,1,3578,27,902A24B9-E
342,AUD,Karl,Rai,26.02.2011 00:00:00,1,699,10,14CD6AF6-F
310,USD,Ryan,Lal,27.02.2011 00:00:00,1,3578,27,86BBEAFE-4
310,USD,Rebecca,Wright,27.02.2011 00:00:00,1,3578,27,5CCDBBCE-B
344,GBP,Anne,Hernandez,27.02.2011 00:00:00,1,3399,99,3F0EBD23-1
310,CAD,Richard,Bailey,27.02.2011 00:00:00,1,3578,27,86D1D077-3
310,USD,Xavier,Roberts,27.02.2011 00:00:00,1,3578,27,FD293225-C
344,USD,Carlos,Carter,27.02.2011 00:00:00,1,3399,99,B5575AF0-A
310,AUD,Krystal,Lu,27.02.2011 00:00:00,1,3578,27,1B7FA337-C
313,DEM,Ashlee,Xu,28.02.2011 00:00:00,1,3578,27,103260AD-D
349,FRF,Shannon,Dominguez,28.02.2011 00:00:00,1,3374,99,3747CAE4-4
349,CAD,Lucas,Mitchell,28.02.2011 00:00:00,1,3374,99,F1FDFCB5-9
313,AUD,Paula,Romero,28.02.2011 00:00:00,1,3578,27,385C8BEC-D
311,AUD,Ronnie,Zhang,28.02.2011 00:00:00,1,3578,27,E0157366-1
351,AUD,Adam,Flores,28.02.2011 00:00:00,1,3374,99,D0D96EAC-1
310,GBP,Allen,Lopez,01.03.2011 00:00:00,1,3578,27,727D5AA6-2
310,USD,Gabrielle,Hall,01.03.2011 00:00:00,1,3578,27,CAEDB640-A
311,CAD,Lucas,Martin,01.03.2011 00:00:00,1,3578,27,60518B5C-5
314,AUD,Michelle,Cox,01.03.2011 00:00:00,1,3578,27,472040A7-5
310,GBP,Jaime,Shen,02.03.2011 00:00:00,1,3578,27,E796C7F3-7
311,GBP,Charles,Taylor,02.03.2011 00:00:00,1,3578,27,D525447F-E
311,FRF,Brandi,Ruiz,02.03.2011 00:00:00,1,3578,27,7C7074FF-5
313,DEM,Shaun,Deng,02.03.2011 00:00:00,1,3578,27,3B0E1652-1
313,CAD,Jake,Zukowski,02.03.2011 00:00:00,1,3578,27,DFEB2C2F-6
313,USD,Brandon,Jones,02.03.2011 00:00:00,1,3578,27,02C7F204-D
312,AUD,Tammy,Raji,02.03.2011 00:00:00,1,3578,27,1E80245B-2
310,AUD,Amy,Ma,02.03.2011 00:00:00,1,3578,27,C3801B0B-2
313,AUD,Alejandro,Wang,02.03.2011 00:00:00,1,3578,27,523DFBEA-1
310,AUD,Alan,Zhu,02.03.2011 00:00:00,1,3578,27,5C154523-A
310,USD,Charles,Moore,03.03.2011 00:00:00,1,3578,27,91DFFADB-5
312,AUD,Dale,Chande,03.03.2011 00:00:00,1,3578,27,61F5D1CF-B
312,AUD,Carolyn,Munoz,03.03.2011 00:00:00,1,3578,27,9504600D-E
328,AUD,Zachary,Wilson,03.03.2011 00:00:00,1,699,10,9FA7FEF2-6
346,GBP,Nicole,Brown,04.03.2011 00:00:00,1,3399,99,F37C8D19-4
